"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"4560","QY-0616",NA,"600,990","3,838,710","4,710","","122","122","121OGLL",-11565818.67,4121212.03,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4561","TB-0059",NA,"403,882","3,688,491","4,801","T-00442 S12","1,080","1,080","210MNCS",-11803516.27,3939361.144,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4562","QY-0657",NA,"615,150","3,830,950","4,590","","110","110","121OGLL",-11548731.58,4111542.3,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4563","TB-0143",NA,"416,035","3,702,978","6,512","T-01556","221","221","180TKSCC_Upper",-11789131.92,3956917.678,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4564","QY-0553",NA,"582,674","3,834,750","4,510","","8","8","110ALVM/231CHNL",-11588117.73,4116601.75,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4565","BW-0080",NA,"378,936","3,719,230","5,550","","","17","325MDER",-11833810.43,3976014.59,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4566","QY-0672",NA,"594,374","3,846,840","4,890","","146","146","121OGLL",-11573756.35,4131225.666,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4567","BW-0110",NA,"393,294","3,705,490","4,515","","","","110ALVM",-11816403.1,3959670.551,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4568","SD-0040",NA,"387,305","3,851,590","6,589","X","245","245","325MDER",-11825690.17,4136777.712,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4569","TB-0144",NA,"417,892","3,704,027","6,702","T-03232","140","140","120TSBV_Lower",-11786918.29,3958199.362,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4570","QY-0699",NA,"599,204","3,842,400","4,750","","105","105","121OGLL",-11567940.5,4125740.624,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4571","BW-0077",NA,"414,217","3,726,060","5,210","","","60","110ALVM/211MVRD",-11791556.43,3984708.578,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4572","TO-0144",NA,"395,646","3,836,980","6,230","","","201","112QTBF",-11815340.18,4119054.897,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4573","QY-0624",NA,"600,566","3,838,560","4,710","","112","112","121OGLL",-11566335.84,4121034.597,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4574","QY-0735",NA,"635,045","3,849,280","4,670","","189","189","121OGLL",-11524255.17,4133586.661,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4575","QY-0596",NA,"600,895","3,834,190","4,710","","90","90","121OGLL",-11565994.13,4115697.54,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4576","CP-0037",NA,"667,924","3,808,538","4,237","CC-01945 POD1","400","400","121OGLL",-11485168.81,4083268.53,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4577","TO-0248",NA,"420,489","3,841,500","6,085","","","40","112QTBF",-11785206.26,4124874.907,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4578","TO-0056",NA,"466,627","3,813,790","6,210","","","","310YESO",-11728998.37,4091430.063,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4579","TO-0094",NA,"401,269","3,826,460","6,160","","","200","112QTBF",-11808372.77,4106299.224,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4580","BW-0093",NA,"419,956","3,719,740","5,640","","","","211MVRD",-11784602.38,3977147.162,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4581","QY-0704",NA,"600,851","3,840,960","4,760","","129","129","121OGLL",-11565957.65,4123960.562,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4582","TO-0193",NA,"414,221","3,830,970","6,100","","","25","112QTBF",-11792706.28,4111955.904,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4583","TO-0087",NA,"403,259","3,827,960","6,121","","","","112QTBF",-11805976.99,4108153.505,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4584","WL-0164",NA,"614,688","3,702,343","4,403","X","","","",-11551174.69,3955773.337,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4585","QY-0611",NA,"608,705","3,830,970","4,650","","","","121OGLL",-11556555.33,4111661.838,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4586","QY-0736",NA,"635,766","3,849,250","4,690","","217","217","121OGLL",-11523378.81,4133537.03,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4587","TO-0040",NA,"390,382","3,819,440","6,530","","","288","310YESO",-11821482.72,4097596.156,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4588","QY-0662",NA,"585,904","3,846,270","5,100","","151","151","121OGLL",-11584063.97,4130630.718,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4589","TO-0079",NA,"390,112","3,822,510","6,430","","","198","310YESO",-11821854.19,4101332.222,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4590","BW-0485",NA,"394,445","3,789,080","6,484","","","300","300YESO",-11816140.53,4060733.02,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4591","TB-0095",NA,"433,843","3,709,243","7,253","H-03618","130","130","180TKSCC_Upper",-11767852.28,3964626.605,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4592","BW-0118",NA,"393,157","3,700,660","4,455","","","","110ALVM",-11816503.21,3953856.733,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4593","BW-0673",NA,"516,830","3,807,910","5,241","","","1,065","310YESO",-11668161.03,4084326.986,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4594","QY-0630",NA,"600,570","3,837,320","4,690","","53","53","121OGLL",-11566347.41,4119521.127,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4595","QY-0576",NA,"604,120","3,835,610","4,660","","188","188","121OGLL",-11562058.06,4117386.382,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4596","BW-0079",NA,"425,244","3,724,500","5,660","","","","110ALVM",-11778301.74,3982938.326,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4597","QY-0761",NA,"600,200","3,852,530","4,920","","118","118","121OGLL",-11566595.55,4138103.796,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4598","QY-0563",NA,"589,729","3,835,660","4,910","","137","137","121OGLL",-11579537.85,4117631.77,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4599","BW-0147",NA,"413,876","3,692,480","5,486","","","300","110ALVM",-11791606.07,3944268.186,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4600","TB-0050",NA,"434,587","3,709,385","7,268","X","","","180TKSCC_Upper",-11766961.64,3964803.731,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4601","QY-0688",NA,"589,696","3,847,280","5,020","","100","100","121OGLL",-11579440.43,4131820.434,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4602","TO-0083",NA,"401,297","3,830,110","6,160","","","115","112QTBF",-11808386.05,4110749.837,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4603","TO-0218",NA,"403,178","3,849,360","6,120","","","450","112QTBF",-11806348.31,4134273.633,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4604","TB-0129",NA,"404,790","3,705,348","5,232","T-00273","65","65","180TKSCC_Upper",-11802628.91,3959644.437,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4605","QY-0602",NA,"606,033","3,834,530","4,630","","","","121OGLL",-11559749.55,4116042.117,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4606","QY-0619",NA,"601,113","3,838,140","4,700","","80","80","121OGLL",-11565676.81,4120514.666,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4607","BW-0133",NA,"411,406","3,693,440","5,380","","","50","110ALVM",-11794571.89,3945395.495,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4608","TO-0239",NA,"407,842","3,841,610","6,087","","","26","112QTBF",-11800580.15,4124865.341,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4609","TB-0234",NA,"429,270","3,717,412","6,162","X","","","120TSBV_Lower",-11773405.7,3974429.145,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4610","TO-0054",NA,"459,628","3,812,030","6,410","","","300","310YESO",-11737472.26,4089253.5,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4611","QY-0598",NA,"601,670","3,833,990","4,700","","69","69","121OGLL",-11565055.6,4115443.173,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4612","QY-0600",NA,"601,647","3,833,300","4,700","","","","121OGLL",-11565092.75,4114601.731,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4613","TB-0217",NA,"422,708","3,721,336","5,642","X","","","210GLUPC_Lower",-11781315.65,3979098.527,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4614","TB-0218",NA,"419,832","3,720,304","5,582","X","","","180TKSCC_Upper",-11784756.82,3977825.844,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4615","BW-0841",NA,"392,037","3,707,510","4,549","","","100","112ANCH",-11817936.06,3962085.248,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4616","BW-0078",NA,"427,279","3,726,080","5,740","","","110","110ALVM",-11775873.07,3984863.064,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4617","QY-0550",NA,"588,408","3,838,140","4,950","","200","200","121OGLL",-11581113.64,4120673.987,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4618","TO-0028",NA,"447,266","3,804,200","6,290","","","220","310YESO",-11752398.83,4079650.437,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4619","BW-0129",NA,"414,529","3,695,480","5,805","","","76","",-11790856.44,3947882.051,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4620","CP-0020",NA,"662,917","3,763,206","4,196","X","","","",-11492180.42,4028375.87,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4621","TO-0295",NA,"402,131","3,853,200","6,165","","","161","112QTBF",-11807671.77,4138953.583,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4622","TB-0222",NA,"424,022","3,713,570","6,790","X","","","120TSBV_Upper",-11779665.02,3969751.226,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4623","QY-0668",NA,"586,832","3,840,660","5,010","","145","145","121OGLL",-11582999.72,4123768.589,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4624","TO-0219",NA,"404,475","3,848,740","6,100","","","","112QTBF",-11804762.68,4133532.591,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4625","QY-0590",NA,"600,175","3,834,820","4,700","","87","87","121OGLL",-11566860.25,4116475.733,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4626","BW-0123",NA,"407,704","3,696,330","5,630","","","235","",-11799034.64,3948828.825,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4627","QY-0827",NA,"630,547","3,850,180","4,760","","113","113","121OGLL",-11529710.24,4134765.734,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4628","QY-0701",NA,"600,499","3,841,660","4,760","","136","136","121OGLL",-11566376.18,4124819.915,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4629","QY-0671",NA,"598,470","3,848,630","4,830","","98","98","121OGLL",-11568751.65,4133360.215,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4630","QY-0694",NA,"608,033","3,841,350","4,750","","94","94","121OGLL",-11557223.56,4124337.321,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4631","TO-0311",NA,"403,478","3,849,640","6,115","","","","112QTBF",-11805986.94,4134619.661,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4632","WL-0041",NA,"436,348","3,697,625","7,409","H-00785 S-3","745","745","211CRVC",-11764757.87,3950663.973,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4633","QY-0690",NA,"602,421","3,844,530","4,810","","257","257","121OGLL",-11564001.29,4128298.808,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4634","BW-0081",NA,"385,124","3,722,290","5,200","","","155","300YESO",-11826431.04,3979794.899,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4635","BW-0501",NA,"399,008","3,728,550","5,140","","","630","300YESO",-11809848.37,3987533.546,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4636","QY-0676",NA,"596,100","3,844,090","4,810","","122","122","121OGLL",-11571692.17,4127844.673,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4637","TB-0096",NA,"433,890","3,709,363","7,292","H-03618","125","125","180TKSCC_Upper",-11767796.93,3964771.507,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4638","TB-0154",NA,"408,435","3,693,987","5,610","T-01542","210","210","120TSBV_Upper",-11798133.16,3946019.906,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4639","TO-0041",NA,"386,395","3,815,500","6,430","","","155","310YESO",-11826258.4,4092739.838,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4640","TB-0182",NA,"409,901","3,709,188","5,490","T-01930","162","162","180TKSCC_Upper",-11796548.66,3964326.575,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4641","TO-0153",NA,"402,190","3,837,910","6,122","","","171","112QTBF",-11807402.31,4120277.404,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4642","TB-0103",NA,"414,590","3,726,763","5,232","T-03585","90","90","120IRSV",-11791116.1,3985560.642,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4643","BW-0667",NA,"385,899","3,731,820","6,025","","","","310ABO",-11825637.34,3991301.526,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4644","QY-0709",NA,"602,446","3,847,710","4,870","","385","385","121OGLL",-11563927.82,4132183.03,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4645","BW-0114",NA,"403,031","3,711,800","4,950","","","","211DKOT",-11804814.06,3967391.856,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4646","TO-0150",NA,"399,779","3,837,030","6,158","","","158","112QTBF",-11810319.98,4119171.83,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4647","TB-0180",NA,"405,120","3,706,066","5,309","X","180","180","180TKSCC_Upper",-11802242.01,3960512.609,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4648","QY-0578",NA,"604,116","3,835,360","4,660","","80","80","121OGLL",-11562066.35,4117081.398,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4649","QY-0660",NA,"618,737","3,830,820","4,700","","140","140","121OGLL",-11544379.21,4111328.444,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4650","TB-0127",NA,"399,502","3,705,654","4,894","T-04201","140","140","112QTBF",-11808967.89,3959948.195,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4651","TO-0018",NA,"391,574","3,806,450","6,712","","","530","310YESO",-11819853.98,4081801.863,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4652","TB-0118",NA,"416,625","3,721,997","5,407","T-04471","160","160","210GLUPC_Lower",-11788622.78,3979834.113,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4653","TB-0037",NA,"429,185","3,720,985","5,868","X","93","93","112QTBF",-11773539.29,3978735.591,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4654","TO-0192",NA,"420,460","3,831,810","6,105","","","","112QTBF",-11785140.04,4113048.531,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4655","TO-0191",NA,"423,351","3,835,100","6,175","","","125","112QTBF",-11781662.73,4117092.242,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4656","BW-0503",NA,"398,161","3,724,530","4,930","","","675","300YESO",-11810814.21,3982673.591,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4657","BW-0067",NA,"411,123","3,742,300","5,440","","","175","231DCKM",-11795452.84,4004280.693,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4658","BW-0092",NA,"419,956","3,719,740","5,650","","","180","211MVRD",-11784602.38,3977147.162,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4659","QY-0779",NA,"610,452","3,851,810","4,890","","223","223","121OGLL",-11554130.86,4137079.936,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4660","QY-0643",NA,"609,238","3,834,230","4,619","","80","80","121OGLL",-11555861.48,4115630.548,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4661","TO-0237",NA,"409,236","3,847,680","6,080","","","","112QTBF",-11798958.54,4132296.338,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4662","TO-0202",NA,"379,832","3,849,670","7,110","","","","325MDER",-11834751.72,4134315.584,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4663","BW-0721",NA,"509,112","3,853,200","5,218","","","250","313GDLP",-11677455.81,4139586.164,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4664","TB-0250",NA,"429,144","3,722,626","5,845","T-00255","200","200","180TKSCC_Upper",-11773603.04,3980713.961,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4665","TO-0045",NA,"406,899","3,819,510","6,129","","","35","112QTBF",-11801456.21,4097901.137,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4666","TO-0243",NA,"416,207","3,847,590","6,091","","","169","112QTBF",-11790478.59,4132267.23,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4667","TO-0127",NA,"385,081","3,835,020","6,440","","","183","112QTBF",-11828144.67,4116510.205,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4668","TB-0149",NA,"412,648","3,697,775","5,847","T-01552","","","180TKSCC_Upper",-11793132.54,3950621.875,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4669","TB-0130",NA,"404,786","3,705,374","5,239","T-00273 S","120","120","180TKSCC_Upper",-11802634.01,3959675.685,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4670","TO-0097",NA,"394,588","3,827,050","6,290","","","200","112QTBF",-11816487.94,4106928.664,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4671","QY-0756",NA,"595,971","3,849,270","4,880","","154","154","121OGLL",-11571783.27,4134174.577,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4672","TO-0170",NA,"396,828","3,835,630","6,190","","","135","112QTBF",-11813885.94,4117423.757,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4673","QY-0641",NA,"609,006","3,835,020","4,640","","77","77","121OGLL",-11556131.9,4116597.702,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4674","WL-0007",NA,"433,303","3,783,247","7,224","RA-08435","925","922","260SNAN",-11769123.87,4054085.4,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4675","TO-0071",NA,"386,032","3,828,150","6,450","","","100","310ABO",-11826886.87,4108146.055,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4676","QY-0637",NA,"617,930","3,839,560","4,710","","208","208","121OGLL",-11545223.25,4122004.073,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4677","TO-0173",NA,"395,965","3,836,250","6,204","","","153","112QTBF",-11814942.66,4118168.472,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4678","TO-0118",NA,"458,292","3,822,120","6,369","","","300","310YESO",-11739146.18,4101536.15,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4679","TB-0223",NA,"424,270","3,714,997","6,301","T-01378","200","200","120TSBV_Lower",-11779381.1,3971472.91,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4680","TB-0233",NA,"429,206","3,717,403","6,161","T-00333","200","200","120TSBV_Lower",-11773482.4,3974417.729,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4681","BW-0136",NA,"408,145","3,690,510","5,080","","","24","110ALVM",-11798440.75,3941837.04,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4682","QY-0618",NA,"601,165","3,838,200","4,700","","140","140","121OGLL",-11565612.83,4120587.202,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4683","TO-0151",NA,"399,795","3,836,780","6,158","","","132","112QTBF",-11810297.24,4118866.951,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4684","TB-0224",NA,"424,243","3,715,224","6,285","X","","","120TSBV_Lower",-11779415.63,3971746.179,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4685","QY-0666",NA,"581,798","3,839,500","4,610","","26","26","110ALVM",-11589130.59,4122408.604,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4686","TB-0192",NA,"417,985","3,706,677","6,458","T-01229","140","140","180TKSCC_Upper",-11786833.87,3961390.177,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4687","TO-0316",NA,"405,721","3,851,680","6,108","","","540","112QTBF",-11803283.74,4137141.423,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4688","QY-0617",NA,"601,077","3,838,770","4,710","","108","108","121OGLL",-11565712.16,4121284.102,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4689","QY-0680",NA,"596,120","3,843,440","4,820","","158","158","121OGLL",-11571676.11,4127050.581,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4690","TO-0161",NA,"400,039","3,835,540","6,154","","","225","112QTBF",-11809984.51,4117357.048,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4691","QY-0712",NA,"610,505","3,843,790","4,770","","157","157","121OGLL",-11554183.61,4127280.874,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4692","BW-0111",NA,"399,586","3,705,620","4,885","","","","110ALVM",-11808866.83,3959908.323,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4693","QY-0733",NA,"629,805","3,845,860","4,660","","132","132","121OGLL",-11530686.97,4129501.169,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4694","TB-0023",NA,"418,174","3,723,913","5,375","X","87","87","210GLUPC_Lower",-11786783.33,3982160.712,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4695","TB-0170",NA,"432,443","3,709,231","7,073","T-05127 POD1","84","84","120TSBV_Upper",-11769530.29,3964600.454,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4696","TB-0215",NA,"417,133","3,724,947","5,308","X","","","112QTBF",-11788043.69,3983397.02,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4697","TB-0058",NA,"401,575","3,688,079","4,668","T-00442 S19","350","350","212KTRP",-11806270.32,3938838.321,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4698","QY-0721",NA,"626,710","3,846,140","4,700","","121","121","121OGLL",-11534445.24,4129895.854,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4699","TO-0104",NA,"407,850","3,827,940","6,100","","","235","112QTBF",-11800404.72,4108186.243,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4700","QY-0625",NA,"600,538","3,838,040","4,700","","50","50","121OGLL",-11566376.75,4120400.286,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4701","TB-0124",NA,"421,310","3,722,282","5,562","X","","","180TKSCC_Upper",-11783002.72,3980225.491,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4702","QY-0820",NA,"632,971","3,851,670","4,700","","152","152","121OGLL",-11526735.54,4136544.006,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4703","TB-0211",NA,"422,743","3,725,792","5,524","T-04093","170","170","180TKSCC_Upper",-11781316.75,3984472.815,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4704","TO-0216",NA,"387,330","3,841,720","6,460","","","200","325MDER",-11825512.72,4124721.229,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4705","QY-0673",NA,"598,482","3,845,460","4,800","","87","87","121OGLL",-11568778.34,4129487.252,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4706","BW-0697",NA,"477,439","3,792,830","5,825","","","460","310GLOR",-11715832.13,4065976.562,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4707","TB-0171",NA,"427,256","3,720,584","5,855","T-04345","300","300","180TKSCC_Upper",-11775850.63,3978234.718,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4708","TO-0082",NA,"403,224","3,829,480","6,130","","","58","112QTBF",-11806038.77,4110006.417,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4709","TO-0176",NA,"396,071","3,835,820","6,195","","","146","112QTBF",-11814808.02,4117645.231,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4710","TO-0113",NA,"438,837","3,824,470","6,432","","","280","400PREC",-11762765.88,4104268.747,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4711","TO-0299",NA,"404,047","3,851,770","6,110","","","237","112QTBF",-11805321.81,4137230.235,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4712","TO-0310",NA,"401,814","3,849,790","6,150","","","20","112QTBF",-11808013.19,4134781.423,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4713","QY-0567",NA,"591,026","3,831,180","4,860","","121","121","121OGLL",-11578015.97,4112150.855,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4714","TB-0147",NA,"410,966","3,701,186","6,015","T-01554","45","45","180TKSCC_Upper",-11795183.74,3954706.741,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4715","QY-0649",NA,"610,690","3,833,320","4,600","","","","121OGLL",-11554111.4,4114499.358,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4716","QY-0766",NA,"606,837","3,850,570","4,870","","140","140","121OGLL",-11558546.94,4135616.692,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4717","TO-0062",NA,"382,852","3,829,520","6,535","","","300","310ABO",-11830767.1,4109767.954,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4718","QY-0824",NA,"628,936","3,852,430","4,700","","120","120","121OGLL",-11531631.4,4137543.175,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4719","QY-0555",NA,"582,541","3,832,700","4,470","","35","35","110ALVM",-11588301.53,4114102.114,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4720","TO-0131",NA,"389,163","3,838,290","6,405","","","186","112QTBF",-11823234.8,4120561.359,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4721","TO-0215",NA,"390,574","3,841,700","6,340","","","145","112QTBF",-11821569.7,4124744.553,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4722","TO-0227",NA,"403,223","3,847,160","6,120","","","21","112QTBF",-11806265.4,4131586.087,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4723","QY-0591",NA,"600,467","3,834,810","4,700","","110","110","121OGLL",-11566505.73,4116459.662,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"4724","TB-0162",NA,"434,489","3,711,823","6,633","T-00511","125","125","120TSBV_Upper",-11767098.99,3967739.353,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
