"","SiteNo","SiteID.NMBGMR","Easting","Northing","AltVa","OSEWellID","HoleDepth","WellDepth","FormationZone.NMBGMR","DecLongVa","DecLatVa","AgencyCd","AgencyNm"
"147","SD-0274",NA,"383,301","3,890,230","6,833","X","105","105","325MDER",-11831164.38,4184040.885,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"148","BC-0255",NA,"375,761","3,890,480","7,001","S-02208 POD2","450","450","",-11840380.88,4184224.717,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"149","BC-0022",NA,"366,372","3,880,590","5,789","RG-36085","185","185","",-11851674.26,4171930.032,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"150","EB-215",3.53e+14,"402,167","3,927,243","6,143","X","","","123ESPN",-11808604.59,4229838.746,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"151","AR-0005",NA,"233,838","4,080,950","5,642","SJ-03939","","62","",-12020797.03,4416413.11,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"152","EB-235",3.54e+14,"418,894","3,941,672","7,487","X","","","400EMBD",-11788241.22,4247843.356,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"153","PC-123",NA,"360,931","3,909,330","5,188","X","","","112SNTFOB",-11858854.12,4207116.687,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"154","WL-0156",NA,"363,386","3,908,867","5,423","","","","",-11855840.02,4206593.532,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"155","AR-0038",NA,"221,948","4,074,690","5,443","X","","35","",-12035365.3,4408103.123,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"156","EB-439",NA,"420,929","3,929,690","6,859","RG-34171","462","462","221MRSN",-11785609.76,4233083.678,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"157","AR-0071",NA,"234,364","4,082,272","5,657","X","","","",-12020192.67,4418089.149,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"158","BC-0267",NA,"375,281","3,888,230","6,871","S-02729","","","",-11840929.54,4181455.541,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"159","BC-0078",NA,"375,168","3,889,960","7,026","S-01674","205","205","",-11841096.66,4183576.54,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"160","AR-0016",NA,"230,933","4,078,710","5,573","SJ-01722","20","20","",-12024330.59,4413494.466,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"161","SD-0100",NA,"377,413","3,871,030","7,481","X","","","325MDER",-11838042.43,4160406.32,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
"162","BC-0271",NA,"374,882","3,888,570","7,031","S-02402","","320","",-11841422.64,4181865.984,"NMBGMR","New Mexico Bureau of Geology and Mineral Resources"
