PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
QY-0424,,677358,3903590,3880,,193,193,231SNRS,1166,-103.0503404,35.25974354
BC-0181,,379448,3885440,6964,S-01204,420,420,,1167,-106.3227487,35.10457659
SD-0156,,373303,3883600,6492.78,X,232,232,310ABO,1168,-106.3898751,35.08723533
EB-482,,396210,3964020,5789.65,RG-20531,1435,1182,121TSUQacuf,1169,-106.1488949,35.81483869
PB-0019,,377952,3937418,5207,X,,,,1170,-106.3469137,35.57294965
BW-0143,,412475,3693500,5453,,,300,110ALVM/211MVRD,1171,-105.9409569,33.37720497
QY-0763,,603230,3851080,4890,,125,125,121OGLL,1172,-103.8715517,34.79672005
TO-0429,,425579,3875490,6540,,,394,310YESO,1173,-105.81575,35.0193292
MI-0223,,594581,3941809,4908.14,,,210,211DKOT/217PRGR,1174,-103.9556619,35.61554058
BC-0297,,376056,3892050,7110,,,385,,1175,-106.3609491,35.16375197
SM-0188,,486153,3634138,5399.59,X,770,770,300YESO,1176,-105.1479813,32.84522601
BW-0276,,408301,3655160,4550,,,300,110ALVM,1177,-105.981956,33.03107785
TO-0072,,391574,3827220,6370,,,160,310ABO,1178,-106.1821945,34.58105891
PP-003,,436111,4007025,7390,X,,,,1179,-105.7107294,36.20594883
NM-00257,3.22712E+14,581875,3591080,3182,,906,640,313CPTN,1180,-104.1288933,32.45387917
MI-0040,,563434,3904021,4334.37,,,34,110AVMB,1181,-104.3024992,35.27733026
EB-398,,404342,3929113,6178.08,RG-28595,152,152,123ESPN,1182,-106.0547471,35.50098142
SD-0248,,375910,3890840,7004.74,X,252,252,231CHNL,1183,-106.3623699,35.15282622
TO-0100,,406283,3828780,6092.3,,,,112QTBF,1184,-106.0220166,34.59657282
EB-379,,401253,3934512,6213.16,RG-45723,260,227,112ANCH/121TSUQe,1185,-106.0894591,35.549351
SV-0129,,378935,3900015,6555.38,RG-71350,300,300,325MDER,1186,-106.3305152,35.2359051
TO-0273,,400404,3858580,6225,,,,112QTBF,1187,-106.0896395,34.86470221
QY-0427,,627082,3909270,4020,,140,140,231CHNL,1188,-103.6019611,35.31858809
AS-047,,446113,4042290,7494,RG-66075,760,760,,1189,-105.6019139,36.52446817
BW-0250,,404646,3658040,4440.27,,,200,110ALVM,1190,-106.0213896,33.05673811
PC-122,,371061,3907168,6335.4,RG-67002 X2,273,273,325MDERL,1191,-106.418151,35.29940216
DA-0164,,321564,3529880,4178,,,,,1192,-106.8867287,31.89076684
AS-038,,450643,4042800,8052.92,RG-60367,,,,1193,-105.5513498,36.52931029
CX-0138,,529753,4032780,5985,,,25,,1194,-104.6680365,36.43979068
TB-0005,,422319,3652116,6537.35,T-00063,24,24,050QUAL,1195,-105.8316033,33.00471376
SV-0106,,380580,3897895,6512.29,RG-69777,240,240,325MDER,1196,-106.3121331,35.21699123
QY-0250,,613880,3888980,4400,,98,98,221MRSN,1197,-103.7499747,35.1372668
EB-670,,420980,3930061,6913.64,RG-83291,420,420,325SAND,1198,-105.8714076,35.5109925
BW-0247,,404653,3658850,4480,,,270,110ALVM,1199,-106.021399,33.06404399
ED-0210,,575106,3585240,3110,,,,110ALVM,1200,-104.2013708,32.40167808
TO-0284,,401239,3857430,6195,,,,112QTBF,1201,-106.0803701,34.85441527
SO-0190,,328859,3755359,4555.44,X,55,54,,1202,-106.8514786,33.92478235
SD-0285,,381756,3889440,6803.5,X,232,232,325MDER,1203,-106.2980024,35.14090998
QY-0141,,597954,3890820,4150,,28,28,110ALVM,1204,-103.9245429,35.15553264
SO-0011,,360709,3799830,6353,,,169,310ABO,1205,-106.5141631,34.33041282
BW-0175,,402668,3663710,4450,,,,110ALVM,1206,-106.0431774,33.1076992
QY-0850,,597403,3865420,4480,,46,46,110ALVM,1207,-103.9335717,34.92658459
TO-0335,,381772,3865630,7320,,,57,325MDER,1208,-106.2944372,34.92626284
HS-073,,290792,3667664,4243.35,X,,,,1209,-107.2425446,33.12754211
TO-0411,,400875,3870900,6250,,,100,112QTBF,1210,-106.0859497,34.97582464
ED-0082,,596670,3599030,3380,,,240,231DCKM,1211,-103.9706846,32.52439823
DA-0065,,349936,3588820,5130,,,,,1212,-106.5960818,32.4263921
QY-0337,,652126,3894830,4180,,73,73,231CHNL,1213,-103.3292175,35.18493846
SA-0109,,250928,3715353,6744.26,RG-77847,270,270,112QTBFppm,1214,-107.6826305,33.54880112
TV-274,,446187,4026767,6872.54,RG-74545,1518,1518,121CHMT/122CRTO,1215,-105.6000085,36.38453618
QY-0294,,634396,3896240,4020,,300,300,231CHNL,1216,-103.5236539,35.20017804
QY-0821,,630915,3852550,4730,,98,98,121OGLL,1217,-103.568759,34.80679021
EB-672,,401499,3939441,6159.19,RG-79212,500,500,121TSUQs,1218,-106.0873458,35.59381024
SO-0126,,327331,3764068,4575.92,X,50,50,110ALVM,1219,-106.8697189,34.00303709
EB-607,3.53348E+14,405006,3936039,6347.05,Exempt,1365,340,112ANCH/121TSUQa,1220,-106.0482388,35.56348403
